Title,Description,Type,Priority,Story_Point
Performance Load Testing,Sử dụng k6 để test chịu tải 1000 user concurrent.,FEATURE,MEDIUM,8.0
Fix: Email Notification Spam,Lỗi gửi duplicate email khi user được assign vào nhiều task cùng lúc.,BUG,HIGH,1.5
Refactor Task State Management,Chuyển đổi logic quản lý state global từ Context API sang Redux Toolkit/Zustand.,FEATURE,MEDIUM,14.0
Upgrade Node.js Version,Nâng cấp backend lên Node v20 LTS và update dependencies.,FEATURE,LOW,2.0
Create User Documentation (Wiki),Viết tài liệu hướng dẫn sử dụng tính năng cơ bản cho user.,FEATURE,LOW,6.0
Mobile UI Adjustments,Fix lỗi vỡ layout trên các thiết bị iPhone màn hình nhỏ.,BUG,MEDIUM,5.5
Implement File Attachment in Comments,Cho phép user đính kèm file trong phần comment của task.,FEATURE,MEDIUM,6.0
Security Audit & Fix XSS Vulnerabilities,Rà soát toàn bộ input user và fix các lỗi XSS tiềm ẩn.,BUG,URGENT,6.0
API Rate Limiting,Cấu hình rate limit để chống spam API.,FEATURE,MEDIUM,2.5
Multi-language Support (i18n),"Hỗ trợ đa ngôn ngữ (Tiếng Việt, Tiếng Anh).",FEATURE,LOW,8.0
Optimize Database Indexing,Analyze query log và thêm index cho các bảng lớn để tăng tốc độ search.,FEATURE,HIGH,2.0
Dark Mode Support,Cấu hình theme dark/light cho toàn bộ ứng dụng.,FEATURE,LOW,3.0
Write E2E Test Scripts (Cypress),Viết kịch bản test tự động cho luồng Tạo task -> Assign -> Complete.,FEATURE,MEDIUM,12.0
Export Task List to Excel/CSV,Tính năng xuất báo cáo danh sách task ra file excel.,FEATURE,LOW,5.0
Dashboard Analytics Charts,Vẽ biểu đồ Burn-down chart và năng suất thành viên sử dụng Recharts.,FEATURE,MEDIUM,7.0
Setup CI/CD Pipeline with GitHub Actions,Tự động chạy test và build docker image khi merge vào main.,FEATURE,HIGH,4.0
Fix: Image Paste Bug in Editor,Sửa lỗi không paste được ảnh vào editor trên trình duyệt Firefox/Safari.,BUG,URGENT,2.0
Rich Text Editor for Task Description,"Tích hợp Tiptap hoặc QuillJS để hỗ trợ bold, italic, list, image trong mô tả task.",FEATURE,MEDIUM,9.0
Integration with Google Calendar,Sync deadline của task vào lịch Google cá nhân của user.,FEATURE,MEDIUM,12.0
Implement Notification System (Socket.io),Xây dựng service bắn thông báo realtime khi có task mới hoặc được tag tên.,FEATURE,HIGH,9.5
Refactor: Extract common components,"Tách các component Button, Input, Modal ra khỏi page business.",FEATURE,LOW,2.0
Unit Test Coverage for Core Services,Viết unit test đạt coverage 80% cho các service quan trọng.,FEATURE,MEDIUM,8.0
Optimization: Redis caching for Task List API,"Cache dữ liệu list task, invalidation cache khi có update.",FEATURE,LOW,3.0
